Source,DBA,SoundCategory
Dental surgeries including noise from all sources,73,Medical
Dental surgeries including noise from all sources,80,Medical
Dental ultrasonic scaling,72,Medical
Dental ultrasonic scaling,78,Medical
Diesel locomotive at 50 mph,88,Transportation
"Dishes, washing  ",55-68,Household
Dishwasher,60,Household
Dishwasher,64,Household
Dishwasher,67,Household
Dishwasher,71,Household
Dishwasher,75,Household
Dishwasher,75,Household
Dishwasher,75,Household
Dishwasher,63-66,Household
"Disney's Baby's First Play Radio, by Arco Toys, Inc.",76,Recreation
"Dog, barking",85,Nature
"Dogs, barking",60,Nature
"Dogs, howling",73,Nature
"Drag racing, in stands",145,Recreation
"Drag racing, NHRA nationals, in stands",107-125,Recreation
Drill bit sharpener,88,Power Tools
Drill press 1/2 HP,87,Power Tools
"Drill, 1/4""",92-95,Power Tools
"Drill, electric",90,Power Tools
"Drill, electric",92,Power Tools
"Drill, electric",93,Power Tools
"Drill, electric",94,Power Tools
"Drill, hammer",105,Power Tools
"Drill, hammer",114,Power Tools
"Drill, hand",98,Power Tools
"Drill, multipurpose",102,Power Tools
"Drill, pneumatic ",80,Power Tools
"Drill, pneumatic 50'",80,Power Tools
"Drill, pneumatic precision",119,Power Tools
"Drill, rock ",98,Power Tools
"Drill, rock  ",92,Power Tools
"Drill, rock, pneumatic",130,Power Tools
"Dryer, clothes",55,Household
"Dryer, clothes",60,Household
"Dryer, clothes",73,Household
"Dryer, clothes",45-80,Household
"Dryer, clothes",50-72,Household
"Dryer, clothes",56-58,Household
"Dryer, clothes",64-78,Household
"Dryer, hair",50,Household
"Dryer, hair",66,Household
"Dryer, hair",90,Household
"Dryer, hair",91,Household
"Dryer, hair",80-95,Household
"Dryer, hair, Conair Supermax",84,Household
"Dryer, hair, Target Salon Series Model 1875",85,Household
"Dryer, hair: cold",63-79,Household
"Dryer, hair: hot",65-78,Household
"Dryer, hand: Dyson Airblade AB 02",90,Public
"Dryer, hand: Xlerator XL-BW",100,Public
"Dryer, hand: Xlerator",97,Public
"Dryer, hand: World Dryer Model A XA5-974",82,Public
"Dryer, hot air tumble",63,Household
"Dryer, spin",69-74,Household
Drying hair,79,Household
E-A-R test facility background noise,10,Hearing testing
Earcanal suctioning for cerumen (wax) removal,68-114,Medical
Eating at home,75,Household
Edger and trimmer,81,Household
"Edger, lawn",78,Household
"Elk browsing, walking, twig snaps, leaf rustles, Hoh Valley",32,Nature
"Engine, diesel crew",84-89,Transportation
Engraving pen,85,Power Tools
"Exhibit hall, 1989 National Hearing Aid Society",73-79,
Facial brush,75,Household
Fan,64,Household
Fan heater (fan only),41,Household
Fan heaters (fan only) 1kW,37-53,Household
Fan heaters (fan only) 2kW,41-53,Household
Fan heaters (fan only) 3 kW,47-51,Household
"Fan, bathroom exhaust",54-55,Household
"Fan, extractor",56-60,Household
"Fan, floor",51,Household
"Fan, kitchen exhaust on high",69-71,Household
"Fan, stove hood exhaust",61,Household
"Fan, window",54,Household
"Fan, window on high",60-66,Household
Faucet,66,Household
"Faucet, dripping",40,Household
"Ferry, Staten Island, New York City",73,Transportation
"Ferry, Staten Island, New York City",78,Transportation
"Fireworks show, WENS Skyconcert, Indpls.",93,Recreation
"Fish, bass slaps surface of water, C & O Canal",54,Nature
Fishing,73,Recreation
Food processor,92,Household
Food processor,93-100,Household
"Football game, avg. of med & large college and NFL stadiums",91,Recreation
"Football game, Indianapolis Colts, Nov. 2000",97,Recreation
"Football game, Super Bowl 2012, Indpls. Giants vs. Patriots",94,Recreation
"Football (soccer) match, South African premiere match",100,Recreation
"Forest, coniferous, low wind",35,Nature
"Formula One (F1), Indianapolis Raceway, qualifications (2007)",90-115,Recreation
"Formula One (F1), Indianapolis Raceway,  race (2006)",105-115,Recreation
Freezer,41,Household
Friction ringer (telephone),85,Toys
"Games, handheld electronic",68-76,Toys
Garage work,76,Household
Garbage collection,85,Public
Garbage disposal,67,Household
Garbage disposal,70,Household
Garbage disposal,76,Household
Garbage disposal,78,Household
Garbage disposal,80,Household
Garbage disposal,80,Household
Garbage disposal,80,Household
Garbage disposal,82,Household
Garbage disposal,67-93,Household
Garbage disposal,68-92,Household
Garbage disposal,76-83,Household
Gas cooker,37-54,Household
Gas fire logs with blower,55,Household
Gas fires - full on,28-42,Household
Getting haircut,69,Recreation
"Gibbons (apes) making love at Bristol Zoo, southwest England",100,Nature
Go cart,80-110,Recreation
Golf,65,Recreation
Grand Canyon at night,10,Nature
"Grand Canyon, along river",35,Nature
"Grand Canyon, remote trail",15,Nature
"Grand Canyon, rim",16,Nature
"Grinder, bench",84,Power Tools
"Grinder, coffee",80,Household
"Grinder, coffee",84-95,Household
"Grinder, rotary",105,Power Tools
Guitar ,52,Music/Recording
"Haleakala volcano (Maui), in crater, no wind",5,Nature
Hammer and peg board,94,Toys
"Hammer, chipping, large",120,Power Tools
"Hammer, pneumatic peen",100,Power Tools
"Hammer, pneumatic peen",100,Power Tools
Harbor activities,74,Public
Harmonica ,72,Music/Recording
"Hawaii volcanoes, crater overlook",25,Nature
"Headphone, Aiwa supra-aural, maximum volume",106,Music/Recording
"Headphone, Koss insert, maximum volume",105,Music/Recording
"Headphone, Optimus insert, maximum volume",114,Music/Recording
"Headphone, Panasonic supra-aural, maximum volume",98,Music/Recording
"Headphone, RCA supra-aural, maximum volume",98,Music/Recording
"Headphone, Sony insert, maximum volume",113,Music/Recording
"Headphone, Sony supra-aural, maximum volume",96,Music/Recording
"Headphone, Sony vertical, maximum volume",104,Music/Recording
"Heater, electric",44,Household
"Heating system, forced hot air",42-52,Household
Heavy truck at 50 mph,83,Transportation
Hedge clippers,84,Household
Hedge cutter,95,Household
Hedge trimmer,81,Household
Highway annoyance problem,61,Public
Hockey game,99,Recreation
Hockey game,103,Recreation
Home repairs,63,Household
"Home, typical movement of people, no TV or radio",40-45,Household
"Horn, auto",100,Warning
"Horn, locomotive",110,Transportation
"Horn, locomotive, crew",92-111,Transportation
Hospital operating rooms at Johns Hopkins,58-67,Medical
Hospital pediatric intensive care,56,Medical
"Hospital, avg. of 4 different floors, Johns Hopkins Hospital",53,Medical
"Hospital, neonatal intensive care, avg. of two units",59,Medical
"Hospital, pediatric intensive care unit, Johns Hopkins Hospital",60,Medical
"Hotel bar, Miami Hilton lobby, no music",62,Recreation
Housekeeping,76,Household
Humidifier,50,Household
Humidifier,52,Household
Ice crusher,82,Household
Indianapolis 500 practice session,104-109,Recreation
Indianapolis 500 race,104-109,Recreation
Industrial noise,67,Public
Insects,22-27,Nature
Intercity rail,60-75,Transportation
Japanese music from speakers,75,Music/Recording
"Jazz Club, Brian Auger, Jazz Kitchen, Indianapolis",100,Recreation
"Jazz Club, Killer Ray Appleton, Jazz Kitchen, Indianapolis",93,Recreation
"Jazz Club, Tad Robinson, Jazz Kitchen, Indianapolis",96,Recreation
"Jazz Concert, Winton Marsalis and Lincoln Ctr. Jazz Orch.",70-85,Music/Recording
Jet ski,82,Recreation
"Jet ski, out of water",92,Recreation
Jointer,101,Power Tools
"Jointer, 1/2 HP",101,Power Tools
Juicer,78,Household
"Karaoke, one singer",98,Music/Recording
"Karaoke, two singers",103,Music/Recording
Kawasaki air guitar by DSI Toys,80,Recreation
"Kettle,whistling",69-93,Household
"Knife, electric",68,Household
"Knife, electric",93,Household
"Lake, quiet",30,Nature
"Lakeshore, moderate wind",65,Recreation
Lathe,89,Power Tools
Laundry,76,Household
"Lawm mower, gas push",84-90,Household
Lawn mower,74,Household
Lawn mower,83,Household
Lawn mower,89,Household
Lawn mower,90,Household
Lawn mower,90,Household
Lawn mower,96,Household
Lawn mower,100,Household
Lawn mower,100,Household
Lawn mower,80-92,Household
Lawn mower,80-95,Household
Lawn mower,88-94,Household
Lawn mower ,90,Household
Lawn mower at operator's ear,93,Household
"Lawn mower,  electric cordless",77-79,Household
"Lawn mower, cordless electric reel",68,Household
"Lawn mower, electric",75,Household
"Lawn mower, electric",103,Household
"Lawn mower, electric corded",79,Household
"Lawn mower, gas powered push circa 2004",82-91,Household
"Lawn mower, gas self propelled",82-91,Household
"Lawn mower, loud",105,Household
"Lawn mower, push reel",68-72,Household
"Lawn mower, reel ",63-76,Household
"Lawn mower, riding",91,Household
Lawn thatcher,79,Household
Leaf blower,76,Household
Leaf blower,77,Household
Leaf blower,95-105,Household
"Leaf falling onto fern fronds, single big maple leaf, Hoh Valley",30,Nature
Library,38,Public
Library,40,Public
"Live show, Chris Rock, Clowes Hall, Butler Univ., Indianapolis",85,Recreation
"Live show, Lily Tomlin, Clowes Hall, Butler Univ., Indianapolis",85,Recreation
"Live show, Penn & Teller, Emmens Auditorium, Ball State",85,Recreation
Living room,40,Household
Living room,40,Household
"Living room, typical",40,Household
Locomotive horns,96-110,Transportation
"Locomotive, diesel ",87-102,Transportation
Lounging,71,Household
Magnetic resonance image scanner,123,Medical
Magnetic resonance image scanner,138,Medical
Magnetic resonance image scanner,92-105,Medical
Magnetic resonance image scanner,94-108,Medical
"Magnetic resonance image scanner, GE Signa Imager",117,Medical
"Magnetic resonance image scanner, GE Signa Imager",128,Medical
Magnetic resonance imager  ,100-110,Medical
Magnetic resonance imager circa 1984,92-96,Medical
"Maple grove, Hoh Valley, still air, no leave movement",20,Nature
Massager,50,Household
"Meadow, low wind conditions",30,Nature
Mechanic work,69,Household
Medium truck at 50 mph,79,Transportation
Microwave,55-59,Household
"Mixer, electric",60,Household
"Mixer, electric",65,Household
"Mixer, electric",75,Household
"Mixer, electric - liquidiser attachment fast speed",75-81,Household
"Mixer, electric - liquidiser attachment medium speed",70-75,Household
"Mixer, electric - liquidiser attachment slow speed",57-66,Household
"Mixer, electric fast speed",67-85,Household
"Mixer, electric medium speed",62-83,Household
"Mixer, electric slow speed",59-71,Household
"Mixer, handheld electric",86-91,Household
Model aircraft,78,Recreation
Model airplane,106-117,Recreation
Model airplane engines,106-114,Recreation
"Model airplane engines, muffled",84-95,Recreation
"Model airplane engines, muffled and unmuffled",94-117,Recreation
"Model airplane engines, unmuffled",95-108,Recreation
Molder,100,Power Tools
"Monster truck races at Roanoke, VA, Civic Center",97,Recreation
"Monster truck show in RCA Dome, Indpls.",94,Recreation
"Motor boat, outboard",85,Recreation
"Motor boat, V-8 muscle",95,Recreation
"Motor, hobby",112,Toys
"Motor, loud outboard",102,Transportation
"Motor, trolling ",65,Transportation
Motorboat,65-105,Transportation
Motorboat,74-114,Transportation
Motorcycle,105,Transportation
Motorcycle,80-110,Transportation
Motorcycle,80-110,Transportation
Motorcycle ,90,Transportation
Motorcycle  ,90,Transportation
Motorcycle  ,100,Transportation
Motorcycle passby,90,Public
"Motorcycle passby, off road, 10 different models",81-96,Recreation
Motorcycle Race,100-115,Transportation
Motorcycle ride with full-face helmet,63-90,Transportation
"Motorcycle ride with full-face helmet, 100 mph",113,Transportation
"Motorcycle ride with full-face helmet, 20 mph",97-104,Transportation
"Motorcycle ride with full-face helmet, 30 mph",83,Transportation
"Motorcycle ride with full-face helmet, 30 mph",95,Transportation
"Motorcycle ride with full-face helmet, 30 mph",95,Transportation
"Motorcycle ride with full-face helmet, 45 mph",101-108,Transportation
"Motorcycle ride with full-face helmet, 50 mph",96,Transportation
"Motorcycle ride with full-face helmet, 50 mph",103,Transportation
"Motorcycle ride with full-face helmet, 60 mph",105,Transportation
"Motorcycle ride with full-face helmet, 70 mph",105,Transportation
"Motorcycle ride with full-face helmet, 70 mph",107-110,Transportation
"Motorcycle ride with full-face helmet, 80 mph",109,Transportation
"Motorcycle ride with open-face helmet, 30 mph",89,Transportation
"Motorcycle ride with open-face helmet, 30 mph",89,Transportation
"Motorcycle ride with open-face helmet, 50 mph",98,Transportation
"Motorcycle ride with open-face helmet, 60 mph",98,Transportation
"Motorcycle ride with standard helmet, 20 mph",95-105,Transportation
"Motorcycle ride with standard helmet, 30 mph",75-86,Transportation
"Motorcycle ride with standard helmet, 45 mph",100-106,Transportation
"Motorcycle ride with standard helmet, 60 mph",88-100,Transportation
"Motorcycle ride with standard helmet, 70 mph",105-111,Transportation
"Motorcycle ride with various helmets, 43 mph",94,Transportation
"Motorcycle ride with various helmets, 62 mph",100,Transportation
"Motorcycle, loud",105,Transportation
Motorway traffic,76,Public
Mountaintop,35,Nature
"Moutain slope, open",23,Nature
Movie projector,63,Recreation
Movie theater,72,Recreation
"Movie, Indiana Jones",90-104,Recreation
Movies circa 2000 - 2001 measured via dosimetry,78,Recreation
"Movies,in Nottingham and London, 4 different cinemas",76,Recreation
"Ms Mega Mike, by Yes! Music/Recording Corp.",113,Recreation
Music box,68,Toys
Music box,70,Toys
"Music Music/Recording venues in Brisbane, Australia",96,Music/Recording
"Music Music/Recording venues in Brisbane, Australia",98,Music/Recording
"Music Music/Recording venues in Brisbane, Australia",106,Music/Recording
"Music Music/Recording venues in Brisbane, Australia",95,Music/Recording
"Music Music/Recording venues in Brisbane, Australia",97,Music/Recording
Music for ballroom dancing,90,Music/Recording
Music on radio,44,Music/Recording
Music on radio,52,Music/Recording
"Music, background",50,Music/Recording
"Music, living room",76,Music/Recording
"Music, rock",120,Music/Recording
"Musical, Jersey Boys, Broadway-type event",87,Music/Recording
"National Cathedral (interior), ambience",55,Public
"Natural soundscape, Bear Butte, SD",23,Nature
Niagara Falls,90,Nature
Night Club (Baron's- dancing),93-106,Recreation
"Night clubs, dance floor, Hong Kong",97,Music/Recording
"Night clubs, dance floor, UK",100,Music/Recording
"Nightclub, disco",100,Music/Recording
"Nightclubs, average of 3, 1 am, bar area",89,Recreation
"Nightclubs, average of 3, 1 am, dancefloor",98,Recreation
"Nightclubs, average of 3, 1 am, near speakers",105,Recreation
"Nightclubs, average of 3, 10 pm , near speakers",100,Recreation
"Nightclubs, average of 3, 10 pm, bar area",83,Recreation
"Nightclubs, average of 3, 10 pm, dancefloor",93,Recreation
"Nightclubs, average of 30 venues in Vancouver, Canada",97,Recreation
"Nightclubs, average of 5 disco venues in Hong Kong",94,Music/Recording
"Nightclubs, average of 60 venues in Toronto, Canada",95,Recreation
Nitzer Ebb ,100,Music/Recording
"Nose hair trimmer, electric",61,Household
"Patio, suburban party",73,Recreation
Pencil sharpener (probably electric but not clearly specified),74,Office
"Pencil sharpener, battery powered",70,Office
People eating and talking,52,Personal
"Personal cassette player, 162 regular users",85,Music/Recording
"Personal cassette player, 350 individuals",83,Music/Recording
"Personal cassette player, 40 users on the street in Helsinki",82,Music/Recording
"Personal cassette player, 405 Dutch students",75,Music/Recording
"Personal cassette player, average of 154 youths",92,Music/Recording
Phone,76,Household
Piano,85,Music/Recording
Planer,101,Power Tools
Planer,106,Power Tools
"Planer, 3 HP",102,Power Tools
Playing music on stereo,80,Music/Recording
"Polisher, floor",74,Household
"Polisher, shoe",70,Household
"Pontiac Bonneville, 1988, interior at 65 mph on concrete",71,Transportation
"Popper, air popcorn",78-85,Household
Pounding tent stakes ,66,Hand tools
Power mower,94,Household
Power washing,94,Power Tools
Printer,58-65,Office
Purpose-built liquidiser,87-90,Household
Radio,80,Household
"Radio, blaring",110,Music/Recording
"Radio, in background",45-50,Music/Recording
Rail cars at 50 mph,80,Transportation
Railway traffic,75,Public
"Rainfall, light",40,Nature
"Rainfall, moderate",50,Nature
Range hood,68,Household
Reading,70,Household
Refrigerator,40,Household
Refrigerator,40,Household
Refrigerator,50,Household
Refrigerator,54,Household
Refrigerator,40-43,Household
Refrigerator,45-68,Household
Refrigerator,46-68,Household
Residence,35,Household
Residence,45,Household
Residence,45,Household
Residence,49,Household
Residence,50,Household
"Residence, quiet",45,Household
Residential area in Chicago at night,40,Public
Residential area in Chicago at night,40,Public
Restaurant,83,Recreation
Restaurant,86,Recreation
"Restaurant bar, 1/3 full",65,Recreation
"Restaurant, average",60,Public
"Restaurant, crowded",80,Public
"Restaurant, elegant bistro",50,Recreation
"Restaurant, family style",71,Recreation
"Restaurant, noisy",70,Public
"Restaurant, small 1/2 full",65,Recreation
"Restaurant, small, full",68,Recreation
Restaurant/bar,90,Recreation
"Rice Krispies, fresh in cereal bowl just after milk is poured",30,Household
Road traffic,69,Public
Road traffic and industrial noise,65,Public
Rock / symphonic Concert - the Music of Led Zeppelin,94,Music/Recording
Rock and roll music from speakers,93,Music/Recording
Rock band,110,Music/Recording
Rock band,110,Music/Recording
Rock band,108-114,Music/Recording
Rock music,110,Music/Recording
Rock music (amplified),120,Music/Recording
Rock music (Live),89-119,Music/Recording
"Rock Concert, Paul McCartney, Chicago, Wrigley Field, 2011",112,Music/Recording
Room quiet,40,Household
"Room, quiet",40,Household
"Room, quiet",28-33,Household
Router,93,Power Tools
Router,97,Power Tools
Router,78-92,Power Tools
"Router, Milwaukee 1 HP",103,Power Tools
"Router, Porter Cable 1 1/2 HP",108,Power Tools
"Router, Sear 1/2 HP",98,Power Tools
Rug Shampooer,88,Household
Rural ambient,45,Nature
Rustling leaves,20,Nature
Rustling leaves,20,Nature
Rustling leaves,40,Nature
"Saban's Power Rangers in Space by Bandai America, Inc.",74,Recreation
Sailboat,45,Recreation
Sander,97,Power Tools
"Sander, belt",93,Power Tools
"Sander, belt",96,Power Tools
"Sander, belt",102,Power Tools
"Sander, disk",100,Power Tools
"Sander, orbital",94,Power Tools
"Sander, orbital",100,Power Tools
"Sander, upright belt 2 HP",96,Power Tools
Sanne Salamonsen ,97,Music/Recording
"Saw, band",90,Power Tools
"Saw, bandsaw 3/4 HP",95,Power Tools
"Saw, circular",100-104,Power Tools
"Saw, circular ",103,Power Tools
"Saw, circular, portable",113,Power Tools
"Saw, cut-off",105,Power Tools
"Saw, cut-off",105,Power Tools
"Saw, cut-off",112,Power Tools
"Saw, hand",85,Power Tools
"Saw, jigsaw",97,Power Tools
"Saw, power",100,Power Tools
"Saw, power",95-112,Power Tools
"Saw, radial-arm",98,Power Tools
"Saw, radial-arm",102,Power Tools
"Saw, radial-arm 3/4HP ",102,Power Tools
"Saw, radial-arm 5-HP 14""",110,Power Tools
"Saw, reciprocating",98,Power Tools
"Saw, saber 1-HP",108,Power Tools
"Saw, skilsaw 2-HP",108,Power Tools
"Saw, table",104,Power Tools
"Saw, table ",90,Power Tools
"Saw, table 2 HP",92,Power Tools
"Scissors, electric",69,Household
Screaming contest in reverberant space,110,Personal
Sewing machine,70,Household
Sewing machine,76,Household
Shaper,104,Power Tools
"Shaper, 2 HP",95,Power Tools
"Sharpener, knife",70,Household
"Sharpener, knife",84,Household
Shaver,75,Household
Shaver,81,Household
"Shaver, Braun 3025",75,Household
"Shaver, rotary",75-83,Household
"Shaver, shuttle",64-71,Household
Shock wave lithotripsy,112,Medical
"Shout, loud",90,Personal
"Shout, loud ",90,Personal
Shower,70,Household
Shredder,80,Office
Singing ,60,Personal
"Singing, loud",80,Personal
"Siren, 50 HP ",135,Warning
"Siren, 50 hp ",135,Warning
"Siren, air raid",130,Warning
"Siren, air raid",135,Warning
"Siren, air raid",140,Warning
"Siren, ambulance",120,Warning
"Siren, emergency",110,Warning
"Siren, old fire truck ",129,Warning
"Siren, police ",100,Warning
Sledding,46,Recreation
Sleeping,49,Household
Slide projector,60,Office
Smoking,76,Household
Snow blower,84,Household
Snow blower,90,Household
Snow blower,84-92,Household
Snowmobile,100,Recreation
Snowmobile,100,Recreation
Snowmobile,100,Recreation
Snowmobile,100,Recreation
Snowmobile,80-110,Recreation
Snowmobile,85-109,Recreation
Snowmobile,85-120,Recreation
Snowmobile ,73,Recreation
Snowmobile - 22 HP,86-113,Recreation
Snowmobile - 26 HP,105-136,Recreation
Snowmobile race - inside race oval,104,Recreation
Snowmobile race - spectator stands,100-107,Recreation
Snowmobile race - spectator stands,103-108,Recreation
Sony Discman headphones,75,Music/Recording
Speech,60,Personal
Speech,60,Personal
Speech,60,Personal
Speech,60,Personal
Speech,60,Personal
Speech,60,Personal
Speech,60,Personal
Speech,60,Personal
Speech,60,Personal
Speech,60,Personal
Speech,60,Personal
Speech,60,Personal
Speech,65,Personal
Speech,65,Personal
Speech,65,Personal
Speech,70,Personal
Speech,55-65,Personal
Speech,60-65,Personal
Speech,65-68,Personal
Speech,62,Personal       
Speech ,48,Personal
Speech ,60,Personal
"Speech, fairly loud",70,Personal
"Speech, normal voice",55,Personal
Spray painter,105,Power Tools
Spring peepers,55,Nature
Squeeze toy,81,Toys
Squeeze toy,97,Toys
Squeeze toy          ,91,Toys
Squeeze toy (trumpet shape),89,Toys
Squirrel,39,Nature
"Stereo, home",90-105,Music/Recording
"Stereo, personal",95-115,Music/Recording
"Stereo, personal system",74-128,Music/Recording
"Stock car racing, Bristol Speedway",108,Recreation
"Stock car racing, Bristol Speedway",100,Recreation
"Stock car racing, Indianapolis Raceway (Brickyard 400, 2009)",103-108,Recreation
"Stock car racing, Indianapolis Speedway",94,Recreation
"Stock car racing, Indianapolis Speedway",92,Recreation
"Stock car racing, Kentucky Speedway",99,Recreation
"Stock car racing, Kentucky Speedway",94,Recreation
"Stock car racing, spectators",94,Recreation
Stock cars in turn one with crowd noise,112,Recreation
"Store, large",60,Public
"Store, large",60,Public
"Stove, Camp",43,Household
"Stream, water flowing",73,Nature
Studio (speech),30,Music/Recording
Studio (speech),30,Music/Recording
Studio for sound pictures,20,Music/Recording
Studio for sound pictures,20,Music/Recording
"Studio, broadcast",30,Music/Recording
Suburban ambient,60,Public
Subway,90,Transportation
Subway,90,Transportation
Subway,100,Transportation
Subway ,90,Transportation
Subway ,90,Transportation
Subway ,80-114,Transportation
Subway train (interior),100,Transportation
